place,number,sex,time
1,11,M,1:00:50
2,4,M,1:01:22
3,2,M,1:01:24
4,9,M,1:02:15
5,5,M,1:02:19
6,30,M,1:02:30
7,6,M,1:03:34
8,7,M,1:03:57
9,3,M,1:04:48
10,95,M,1:07:53
11,12,M,1:08:23
12,4,W,1:08:52
13,32,M,1:08:54
14,6,W,1:09:04
15,3,W,1:09:43
16,33,M,1:09:45
17,3931,M,1:09:42
18,2,W,1:09:56
19,31,M,1:09:58
20,7320,M,1:10:36
21,3514,M,1:11:15
22,5,W,1:11:44
23,9410,M,1:11:45
24,3388,M,1:12:02
25,1979,M,1:12:15
26,5685,M,1:12:20
27,5262,M,1:13:25
28,899,M,1:13:43
29,5669,M,1:14:11
30,9227,M,1:14:36
31,5008,M,1:14:39
32,4153,M,1:14:46
33,4229,M,1:14:44
34,912,M,1:15:02
35,8020,M,1:15:05
36,4378,M,1:15:06
37,3118,M,1:15:30
38,9151,M,1:15:36
39,1107,M,1:15:46
40,2112,M,1:15:51
41,3313,M,1:16:02
42,8715,M,1:16:19
43,6944,M,1:16:37
44,6626,M,1:16:53
45,2855,M,1:16:52
46,10,W,1:17:02
47,9393,M,1:17:18
48,5624,M,1:17:34
49,9400,M,1:17:38
50,5827,M,1:17:51
51,8376,M,1:17:50
52,3052,M,1:17:51
53,6179,M,1:17:57
54,5177,M,1:18:00
55,3295,M,1:18:06
56,880,M,1:18:13
57,8394,M,1:18:16
58,5923,M,1:18:21
59,5283,M,1:18:19
60,6201,M,1:18:31
61,7044,M,1:18:31
62,975,M,1:18:36
63,3494,M,1:18:38
64,8013,M,1:18:40
65,6250,M,1:18:46
66,9420,M,1:18:53
67,6656,M,1:18:57
68,788,M,1:19:01
69,4761,M,1:19:06
70,2660,M,1:19:17
71,5284,M,1:19:19
72,4331,M,1:19:21
73,9461,M,1:19:12
74,4625,M,1:19:32
75,6290,M,1:19:37
76,739,M,1:19:37
77,1033,M,1:18:44
78,7,W,1:19:49
79,2960,M,1:19:39
80,3892,M,1:19:45
81,7632,M,1:19:51
82,7232,W,1:19:55
83,5739,M,1:19:44
84,5759,M,1:19:55
85,8653,M,1:20:10
86,3279,M,1:19:58
87,3744,M,1:20:14
88,8690,M,1:20:27
89,5557,M,1:20:22
90,1963,M,1:20:30
91,6308,M,1:20:33
92,8465,M,1:20:53
93,90,W,1:20:57
94,5671,M,1:20:54
95,7756,M,1:21:05
96,4667,M,1:21:04
97,7047,M,1:21:24
98,8411,M,1:21:29
99,6155,M,1:21:38
100,6346,M,1:21:48
101,5764,M,1:21:55
102,3070,M,1:22:10
103,1200,M,1:22:19
104,3778,M,1:22:33
105,4784,M,1:22:37
106,7918,M,1:22:44
107,1579,M,1:22:45
108,6735,M,1:22:48
109,8077,M,1:22:58
110,7007,M,1:23:07
111,2361,M,1:23:10
112,7701,M,1:23:23
113,3183,M,1:23:30
114,7622,M,1:23:32
115,8763,M,1:23:37
116,6995,M,1:23:38
117,6335,M,1:23:39
118,8060,M,1:23:41
119,3988,M,1:23:43
120,9057,M,1:23:49
121,1830,M,1:23:49
122,5001,M,1:23:54
123,4751,M,1:23:55
124,6825,M,1:23:57
125,1672,M,1:23:59
126,4247,M,1:24:02
